company_name,group_name,size,corp_type,db_source,source_description
AK플라자,애경,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
AK홀딩스,애경,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
BC카드,케이티,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
BS,BS,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
BS금융그룹,BS,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
BS증권,BS,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ CGV,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ ENM,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ대한통운,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ씨푸드,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ올리브네트웍스,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ올리브영,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ제일제당,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ푸드빌,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
CJ프레시웨이,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DB,DB,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DB금융투자,DB,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DB생명,DB,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DB손해보험,DB,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DB하이텍,DB,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DL,DL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DL건설,DL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DL이앤씨,DL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
DL케미칼,DL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
E1,엘에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
GS,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
GS건설,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
GS글로벌,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
GS리테일,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
GS에너지,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
GS칼텍스,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
GS홈쇼핑,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HDC,에이치디씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HDC현대산업개발,에이치디씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대건설기계,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대마린솔루션,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대미포조선,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대삼호,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대엔진,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대인프라코어,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
