job_family_id,family_group_id,major_category_num,major_category_label,major_category_icon,job_family_name_ko,typical_roles_json,scope,industry_sensitive,question_engine_key,created_at,updated_at
JF_STR_01,FG_STRATEGY,1,기획·전략,📊,경영기획·사업기획,"[""경영기획자"", ""사업기획자"", ""전략기획담당"", ""경영기획팀장"", ""사업개발담당"", ""신사업기획자""]",전산업공통,False,JF_STR_01,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_STR_02,FG_STRATEGY,1,기획·전략,📊,경영컨설팅·자문,"[""경영컨설턴트"", ""전략컨설턴트"", ""비즈니스어드바이저"", ""경영자문위원"", ""기업진단전문가""]",전산업공통,False,JF_STR_02,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_STR_03,FG_STRATEGY,1,기획·전략,📊,PM·PMO·애자일,"[""프로젝트매니저"", ""PMO담당"", ""애자일코치"", ""스크럼마스터"", ""PjM"", ""프로그램매니저""]",전산업공통,False,JF_STR_03,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_STR_04,FG_STRATEGY,1,기획·전략,📊,상품기획·PO·서비스기획,"[""Product Owner"", ""서비스기획자"", ""PM(ProductManager)"", ""기획PM"", ""플랫폼기획자"", ""웹기획자"", ""앱기획자""]",전산업공통,False,JF_STR_04,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_STR_05,FG_STRATEGY,1,기획·전략,📊,경영지원·일반관리,"[""사업관리담당"", ""임원비서"", ""경영총괄지원"", ""사무국장"", ""CEO"", ""COO"", ""CTO"", ""대표이사"", ""공동창업자""]",전산업공통,False,JF_STR_05,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_MKT_01,FG_MARKETING,2,마케팅·홍보·조사,📣,브랜드마케팅,"[""브랜드마케터"", ""브랜드매니저"", ""캠페인기획자"", ""ATL마케터"", ""마케팅매니저"", ""브랜드전략담당""]",산업특화,False,JF_MKT_01,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_MKT_02,FG_MARKETING,2,마케팅·홍보·조사,📣,디지털·퍼포먼스마케팅,"[""퍼포먼스마케터"", ""디지털마케터"", ""검색광고담당"", ""SA/DA운영자"", ""미디어바잉담당"", ""광고운영담당""]",산업특화,False,JF_MKT_02,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_MKT_03,FG_MARKETING,2,마케팅·홍보·조사,📣,콘텐츠마케터·브랜드콘텐츠,"[""콘텐츠마케터"", ""SNS마케터"", ""소셜미디어담당"", ""블로그마케터""]",산업특화,False,JF_MKT_03,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_MKT_04,FG_MARKETING,2,마케팅·홍보·조사,📣,CRM·그로스마케팅,"[""CRM마케터"", ""그로스해커"", ""리텐션마케터"", ""MAU담당"", ""그로스매니저"", ""CRM전략담당""]",산업특화,False,JF_MKT_04,2026-03-17T00:39:45,2026-03-23T00:00:00
JF_MKT_05,FG_MARKETING,2,마케팅·홍보·조사,📣,온라인마케팅·이커머스마케팅,"[""온라인마케터"", ""이커머스마케터"", ""채널매니저"", ""플랫폼마케터"", ""D2C마케터"", ""채널관리자""]",산업특화,False,JF_MKT_05,2026-03-17T00:39:45,2026-03-23T00:00:00
