domain,sub_competency_id,sub_competency_name,definition,content_source,item_type,weight_in_domain,mvp_priority,scoring_type,junior_importance,senior_importance,version,created_at
K,K_CONCEPT,개념 이해,직무 수행에 필요한 핵심 개념·이론·원리 이해,"NCS 직무 개요, 업무 정의, 핵심 용어",객관식·사례형,0.35,True,binary,high,medium,v1,2026-03-17T01:00:41
K,K_PROCESS,절차·프로세스 지식,표준 절차·워크플로우·SOP에 대한 지식,"NCS 능력단위 절차, 업무 프로세스 문서",절차형 객관식,0.3,True,binary,high,medium,v1,2026-03-17T01:00:41
K,K_REGULATION,규정·컴플라이언스 지식,관련 법규·규정·기준에 대한 이해,"법령, 규정집, 산업별 컴플라이언스 가이드",규정형 객관식,0.2,True,binary,medium,medium,v1,2026-03-17T01:00:41
K,K_TOOL,도구·시스템 지식,업무에 활용하는 도구·시스템·플랫폼에 대한 지식,"NCS 도구 활용, JD 기술 요건",도구형 객관식,0.15,False,binary,medium,medium,v1,2026-03-17T01:00:41
A,A_JUDGMENT,상황 판단,복잡한 업무 상황에서의 적절한 판단 능력,"SJT 시나리오, 실제 업무 사례",SJT 단일최적,0.3,True,partial_credit,high,medium,v1,2026-03-17T01:00:41
A,A_PRIORITY,우선순위 결정,한정된 시간·자원 내 업무 우선순위 결정,SJT + 인바스켓 혼합,SJT 우선순위형,0.25,True,partial_credit,medium,high,v1,2026-03-17T01:00:41
A,A_PROBLEM,문제 해결,문제 원인 파악 및 대안 선택,SJT 문제해결 시나리오,SJT 부분점수,0.25,True,partial_credit,medium,medium,v1,2026-03-17T01:00:41
A,A_STAKEHOLDER,이해관계자 대응·협업,내외부 이해관계자와의 소통·협업 판단,SJT 커뮤니케이션 시나리오,SJT 단일최적,0.2,False,partial_credit,medium,medium,v1,2026-03-17T01:00:41
P1,P1_KPI_READ,KPI 해석,목표·현재상태·갭을 데이터로 읽는 능력,"KPI 라이브러리, 산업별 KPI 벤치마크",KPI 시나리오,0.3,True,partial_credit,medium,medium,v1,2026-03-17T01:00:41
P1,P1_GAP_ANALYSIS,목표 대비 갭 분석,성과 갭을 원인 분석하고 우선과제 도출,KPI 시나리오 + 성과관리 기준,갭분석형,0.3,True,partial_credit,medium,medium,v1,2026-03-17T01:00:41
P1,P1_ACTION,개선 액션 선택,KPI 달성을 위한 최적 전략·액션 선택,"KPI 시나리오, 산업 우수사례",전략선택형,0.25,True,partial_credit,medium,high,v1,2026-03-17T01:00:41
P1,P1_TRADEOFF,실행 우선순위·트레이드오프,자원 제약 하 트레이드오프 판단,KPI 시나리오 심화,트레이드오프형,0.15,False,partial_credit,medium,high,v1,2026-03-17T01:00:41
P2,P2_INBOX_PRIORITY,인바스켓 우선순위화,업무 상황에서 처리 순서 결정,디지털 인바스켓 템플릿,이벤트 로그 기반,0.3,True,event_log,high,medium,v1,2026-03-17T01:00:41
P2,P2_DIGITAL_ACTION,디지털 조치,인바스켓 각 항목에 대한 조치 적절성,디지털 인바스켓 템플릿,이벤트 로그 기반,0.25,True,event_log,medium,medium,v1,2026-03-17T01:00:41
P2,P2_AI_USE,AI 도구 활용,AI 도구를 적절히 사용해 효율성 향상,AI 워크플로우 템플릿,AI 워크플로우형,0.25,True,event_log,medium,high,v1,2026-03-17T01:00:41
P2,P2_VALIDATION,결과 검증·품질 점검,AI·자동화 결과를 검증하고 품질 확인,AI 워크플로우 템플릿,검증형,0.2,True,event_log,medium,medium,v1,2026-03-17T01:00:41
